id;symbol;date;close
28553;MXWO;31.12.2009;1168.47
28554;MXWO;04.01.2010;1189.4539
28555;MXWO;05.01.2010;1192.9549
28556;MXWO;06.01.2010;1193.8321
28557;MXWO;07.01.2010;1193.2503
28558;MXWO;08.01.2010;1198.608
28559;MXWO;11.01.2010;1207.5761
28560;MXWO;12.01.2010;1199.7065
28561;MXWO;13.01.2010;1202.0397
28562;MXWO;14.01.2010;1208.4228
28563;MXWO;15.01.2010;1196.13
28564;MXWO;19.01.2010;1203.8046
28565;MXWO;20.01.2010;1185.0864
28566;MXWO;21.01.2010;1167.5318
28567;MXWO;22.01.2010;1150.5283
28568;MXWO;25.01.2010;1149.6341
28569;MXWO;26.01.2010;1144.0904
28570;MXWO;27.01.2010;1141.0821
28571;MXWO;28.01.2010;1129.1918
28572;MXWO;29.01.2010;1120.4064
28573;MXWO;01.02.2010;1130.2446
28574;MXWO;02.02.2010;1145.9304
28575;MXWO;03.02.2010;1140.1961
28576;MXWO;04.02.2010;1107.6425
28577;MXWO;05.02.2010;1096.7873
28578;MXWO;08.02.2010;1094.1048
28579;MXWO;09.02.2010;1102.6971
28580;MXWO;10.02.2010;1103.3597
28581;MXWO;11.02.2010;1110.2727
28582;MXWO;12.02.2010;1109.4349
28583;MXWO;16.02.2010;1127.221
28584;MXWO;17.02.2010;1136.4261
28585;MXWO;18.02.2010;1141.6331
28586;MXWO;19.02.2010;1137.2228
28587;MXWO;22.02.2010;1142.695
28588;MXWO;23.02.2010;1131.4486
28589;MXWO;24.02.2010;1136.4055
28590;MXWO;25.02.2010;1127.3464
28591;MXWO;26.02.2010;1136.7372
28592;MXWO;01.03.2010;1144.1742
28593;MXWO;02.03.2010;1153.2819
28594;MXWO;03.03.2010;1161.5473
28595;MXWO;04.03.2010;1160.0292
28596;MXWO;05.03.2010;1174.9827
28597;MXWO;08.03.2010;1179.3491
28598;MXWO;09.03.2010;1178.8039
28599;MXWO;10.03.2010;1185.3124
28600;MXWO;11.03.2010;1187.9144
28601;MXWO;12.03.2010;1192.6407
28602;MXWO;15.03.2010;1187.27
28603;MXWO;16.03.2010;1199.0719
28604;MXWO;17.03.2010;1208.0402
28605;MXWO;18.03.2010;1202.2258
28606;MXWO;19.03.2010;1196.2738
28607;MXWO;22.03.2010;1199.0243
28608;MXWO;23.03.2010;1206.5598
28609;MXWO;24.03.2010;1196.0596
28610;MXWO;25.03.2010;1197.5518
28611;MXWO;26.03.2010;1199.3315
28612;MXWO;29.03.2010;1207.8337
28613;MXWO;30.03.2010;1208.4091
28614;MXWO;31.03.2010;1207.8874
28615;MXWO;01.04.2010;1219.7817
28616;MXWO;05.04.2010;1225.0558
28617;MXWO;06.04.2010;1225.8324
28618;MXWO;07.04.2010;1221.3267
28619;MXWO;08.04.2010;1219.3105
28620;MXWO;09.04.2010;1231.4686
28621;MXWO;12.04.2010;1237.6146
28622;MXWO;13.04.2010;1234.3224
28623;MXWO;14.04.2010;1247.8796
28624;MXWO;15.04.2010;1250.4207
28625;MXWO;16.04.2010;1230.8737
28626;MXWO;19.04.2010;1226.42
28627;MXWO;20.04.2010;1237.1118
28628;MXWO;21.04.2010;1234.4773
28629;MXWO;22.04.2010;1227.873
28630;MXWO;23.04.2010;1234.7707
28631;MXWO;26.04.2010;1238.0397
28632;MXWO;27.04.2010;1211.821
28633;MXWO;28.04.2010;1203.8066
28634;MXWO;29.04.2010;1218.1854
28635;MXWO;30.04.2010;1208.6655
28636;MXWO;03.05.2010;1212.7925
28637;MXWO;04.05.2010;1182.0096
28638;MXWO;05.05.2010;1168.9568
28639;MXWO;06.05.2010;1136.6052
28640;MXWO;07.05.2010;1110.954
28641;MXWO;10.05.2010;1165.4943
28642;MXWO;11.05.2010;1157.164
28643;MXWO;12.05.2010;1171.5058
28644;MXWO;13.05.2010;1165.417
28645;MXWO;14.05.2010;1136.3416
28646;MXWO;17.05.2010;1128.7702
28647;MXWO;18.05.2010;1124.7847
28648;MXWO;19.05.2010;1108.647
28649;MXWO;20.05.2010;1076.533
28650;MXWO;21.05.2010;1086.6957
28651;MXWO;24.05.2010;1077.3402
28652;MXWO;25.05.2010;1061.6812
28653;MXWO;26.05.2010;1066.6094
28654;MXWO;27.05.2010;1098.8348
28655;MXWO;28.05.2010;1094.4901
28656;MXWO;01.06.2010;1083.7044
28657;MXWO;02.06.2010;1093.9532
28658;MXWO;03.06.2010;1105.9264
28659;MXWO;04.06.2010;1074.9004
28660;MXWO;07.06.2010;1055.8199
28661;MXWO;08.06.2010;1060.0466
28662;MXWO;09.06.2010;1065.0911
28663;MXWO;10.06.2010;1090.4379
28664;MXWO;11.06.2010;1096.0777
28665;MXWO;14.06.2010;1106.9427
28666;MXWO;15.06.2010;1124.3428
28667;MXWO;16.06.2010;1127.2082
28668;MXWO;17.06.2010;1128.9591
28669;MXWO;18.06.2010;1131.5963
28670;MXWO;21.06.2010;1136.9746
28671;MXWO;22.06.2010;1121.4873
28672;MXWO;23.06.2010;1112.0345
28673;MXWO;24.06.2010;1098.4477
28674;MXWO;25.06.2010;1095.5554
28675;MXWO;28.06.2010;1098.9009
28676;MXWO;29.06.2010;1063.9037
28677;MXWO;30.06.2010;1057.1263
28678;MXWO;01.07.2010;1051.8987
28679;MXWO;02.07.2010;1052.548
28680;MXWO;06.07.2010;1067.7743
28681;MXWO;07.07.2010;1088.4949
28682;MXWO;08.07.2010;1101.8618
28683;MXWO;09.07.2010;1108.6293
28684;MXWO;12.07.2010;1108.6075
28685;MXWO;13.07.2010;1126.4709
28686;MXWO;14.07.2010;1130.6215
28687;MXWO;15.07.2010;1130.6636
28688;MXWO;16.07.2010;1107.0878
28689;MXWO;19.07.2010;1106.5087
28690;MXWO;20.07.2010;1110.7845
28691;MXWO;21.07.2010;1105.6799
28692;MXWO;22.07.2010;1127.8008
28693;MXWO;23.07.2010;1135.274
28694;MXWO;26.07.2010;1147.7743
28695;MXWO;27.07.2010;1148.963
28696;MXWO;28.07.2010;1147.5096
28697;MXWO;29.07.2010;1146.5414
28698;MXWO;30.07.2010;1143.0888
28699;MXWO;02.08.2010;1170.9569
28700;MXWO;03.08.2010;1171.8047
28701;MXWO;04.08.2010;1171.7917
28702;MXWO;05.08.2010;1172.3484
28703;MXWO;06.08.2010;1171.6665
28704;MXWO;09.08.2010;1177.7125
28705;MXWO;10.08.2010;1164.7345
28706;MXWO;11.08.2010;1132.0999
28707;MXWO;12.08.2010;1125.29
28708;MXWO;13.08.2010;1122.7811
28709;MXWO;16.08.2010;1125.6954
28710;MXWO;17.08.2010;1138.7777
28711;MXWO;18.08.2010;1139.839
28712;MXWO;19.08.2010;1126.8764
28713;MXWO;20.08.2010;1113.5194
28714;MXWO;23.08.2010;1113.0655
28715;MXWO;24.08.2010;1098.7054
28716;MXWO;25.08.2010;1093.4946
28717;MXWO;26.08.2010;1097.0951
28718;MXWO;27.08.2010;1109.4183
28719;MXWO;30.08.2010;1103.9225
28720;MXWO;31.08.2010;1100.9939
28721;MXWO;01.09.2010;1132.5254
28722;MXWO;02.09.2010;1140.3644
28723;MXWO;03.09.2010;1152.9654
28724;MXWO;07.09.2010;1145.2278
28725;MXWO;08.09.2010;1150.5174
28726;MXWO;09.09.2010;1158.8195
28727;MXWO;10.09.2010;1161.1933
28728;MXWO;13.09.2010;1177.2547
28729;MXWO;14.09.2010;1181.009
28730;MXWO;15.09.2010;1182.1185
28731;MXWO;16.09.2010;1180.0371
28732;MXWO;17.09.2010;1179.0498
28733;MXWO;20.09.2010;1194.9364
28734;MXWO;21.09.2010;1192.8383
28735;MXWO;22.09.2010;1194.0409
28736;MXWO;23.09.2010;1186.6804
28737;MXWO;24.09.2010;1206.7976
28738;MXWO;27.09.2010;1204.3377
28739;MXWO;28.09.2010;1209.0787
28740;MXWO;29.09.2010;1209.0155
28741;MXWO;30.09.2010;1204.1758
28742;MXWO;01.10.2010;1209.3558
28743;MXWO;04.10.2010;1200.5373
28744;MXWO;05.10.2010;1224.7099
28745;MXWO;06.10.2010;1231.4926
28746;MXWO;07.10.2010;1232.5556
28747;MXWO;08.10.2010;1236.045
28748;MXWO;11.10.2010;1236.7607
28749;MXWO;12.10.2010;1234.09
28750;MXWO;13.10.2010;1248.7621
28751;MXWO;14.10.2010;1252.8724
28752;MXWO;15.10.2010;1250.2491
28753;MXWO;18.10.2010;1254.7946
28754;MXWO;19.10.2010;1235.3675
28755;MXWO;20.10.2010;1248.789
28756;MXWO;21.10.2010;1251.9591
28757;MXWO;22.10.2010;1249.9964
28758;MXWO;25.10.2010;1256.89
28759;MXWO;26.10.2010;1250.8774
28760;MXWO;27.10.2010;1240.914
28761;MXWO;28.10.2010;1248.6183
28762;MXWO;29.10.2010;1249.5432
28763;MXWO;01.11.2010;1250.6487
28764;MXWO;02.11.2010;1261.5706
28765;MXWO;03.11.2010;1261.7816
28766;MXWO;04.11.2010;1292.1717
28767;MXWO;05.11.2010;1293.5576
28768;MXWO;08.11.2010;1290.5993
28769;MXWO;09.11.2010;1288.1445
28770;MXWO;10.11.2010;1279.8567
28771;MXWO;11.11.2010;1277.5532
28772;MXWO;12.11.2010;1265.8596
28773;MXWO;15.11.2010;1264.8988
28774;MXWO;16.11.2010;1241.739
28775;MXWO;17.11.2010;1244.1427
28776;MXWO;18.11.2010;1264.1849
28777;MXWO;19.11.2010;1265.4654
28778;MXWO;22.11.2010;1261.5777
28779;MXWO;23.11.2010;1240.3457
28780;MXWO;24.11.2010;1251.9303
28781;MXWO;26.11.2010;1240.2648
28782;MXWO;29.11.2010;1230.718
28783;MXWO;30.11.2010;1223.2678
28784;MXWO;01.12.2010;1247.1491
28785;MXWO;02.12.2010;1268.4197
28786;MXWO;03.12.2010;1278.4807
28787;MXWO;06.12.2010;1276.0416
28788;MXWO;07.12.2010;1280.7868
28789;MXWO;08.12.2010;1278.1136
28790;MXWO;09.12.2010;1282.9703
28791;MXWO;10.12.2010;1288.4149
28792;MXWO;13.12.2010;1297.5956
28793;MXWO;14.12.2010;1300.0568
28794;MXWO;15.12.2010;1291.8697
28795;MXWO;16.12.2010;1292.3315
28796;MXWO;17.12.2010;1290.0794
28797;MXWO;20.12.2010;1292.1311
28798;MXWO;21.12.2010;1304.009
28799;MXWO;22.12.2010;1306.6173
28800;MXWO;23.12.2010;1306.4936
28801;MXWO;27.12.2010;1305.9422
28802;MXWO;28.12.2010;1308.743
28803;MXWO;29.12.2010;1312.5678
28804;MXWO;30.12.2010;1310.1509
28805;MXWO;31.12.2010;1313.6224
28806;MXWO;03.01.2011;1321.7286
28807;MXWO;04.01.2011;1323.1259
28808;MXWO;05.01.2011;1318.9844
28809;MXWO;06.01.2011;1317.7046
28810;MXWO;07.01.2011;1315.4034
28811;MXWO;10.01.2011;1309.4814
28812;MXWO;11.01.2011;1316.2882
28813;MXWO;12.01.2011;1333.0306
28814;MXWO;13.01.2011;1340.1219
28815;MXWO;14.01.2011;1343.8986
28816;MXWO;18.01.2011;1351.3591
28817;MXWO;19.01.2011;1343.9422
28818;MXWO;20.01.2011;1329.8549
28819;MXWO;21.01.2011;1337.5228
28820;MXWO;24.01.2011;1347.4715
28821;MXWO;25.01.2011;1346.2057
28822;MXWO;26.01.2011;1354.0226
28823;MXWO;27.01.2011;1356.9747
28824;MXWO;28.01.2011;1337.4904
28825;MXWO;31.01.2011;1343.602
28826;MXWO;01.02.2011;1366.4042
28827;MXWO;02.02.2011;1369.2442
28828;MXWO;03.02.2011;1366.42
28829;MXWO;04.02.2011;1368.1949
28830;MXWO;07.02.2011;1376.2103
28831;MXWO;08.02.2011;1384.6187
28832;MXWO;09.02.2011;1379.8907
28833;MXWO;10.02.2011;1375.3313
28834;MXWO;11.02.2011;1378.6612
28835;MXWO;14.02.2011;1382.9031
28836;MXWO;15.02.2011;1382.4317
28837;MXWO;16.02.2011;1390.5363
28838;MXWO;17.02.2011;1398.4822
28839;MXWO;18.02.2011;1401.5429
28840;MXWO;22.02.2011;1376.4889
28841;MXWO;23.02.2011;1368.1399
28842;MXWO;24.02.2011;1365.7281
28843;MXWO;25.02.2011;1380.5692
28844;MXWO;28.02.2011;1391.368
28845;MXWO;01.03.2011;1380.3407
28846;MXWO;02.03.2011;1377.5808
28847;MXWO;03.03.2011;1392.4451
28848;MXWO;04.03.2011;1388.8043
28849;MXWO;07.03.2011;1379.109
28850;MXWO;08.03.2011;1381.506
28851;MXWO;09.03.2011;1380.389
28852;MXWO;10.03.2011;1353.5698
28853;MXWO;11.03.2011;1355.3896
28854;MXWO;14.03.2011;1341.238
28855;MXWO;15.03.2011;1310.9165
28856;MXWO;16.03.2011;1299.026
28857;MXWO;17.03.2011;1319.2246
28858;MXWO;18.03.2011;1326.9068
28859;MXWO;21.03.2011;1347.8979
28860;MXWO;22.03.2011;1351.6885
28861;MXWO;23.03.2011;1352.3745
28862;MXWO;24.03.2011;1365.3045
28863;MXWO;25.03.2011;1367.266
28864;MXWO;28.03.2011;1362.9213
28865;MXWO;29.03.2011;1366.7368
28866;MXWO;30.03.2011;1379.4766
28867;MXWO;31.03.2011;1378.4108
28868;MXWO;01.04.2011;1385.3174
28869;MXWO;04.04.2011;1389.7721
28870;MXWO;05.04.2011;1387.7622
28871;MXWO;06.04.2011;1393.4971
28872;MXWO;07.04.2011;1389.825
28873;MXWO;08.04.2011;1396.3757
28874;MXWO;11.04.2011;1393.5385
28875;MXWO;12.04.2011;1378.2795
28876;MXWO;13.04.2011;1383.5283
28877;MXWO;14.04.2011;1381.4682
28878;MXWO;15.04.2011;1383.0888
28879;MXWO;18.04.2011;1361.7491
28880;MXWO;19.04.2011;1369.59
28881;MXWO;20.04.2011;1396.3938
28882;MXWO;21.04.2011;1407.8453
28883;MXWO;25.04.2011;1404.2891
28884;MXWO;26.04.2011;1413.9402
28885;MXWO;27.04.2011;1419.1378
28886;MXWO;28.04.2011;1433.2741
28887;MXWO;29.04.2011;1437.5057
28888;MXWO;02.05.2011;1441.1847
28889;MXWO;03.05.2011;1432.0586
28890;MXWO;04.05.2011;1420.5638
28891;MXWO;05.05.2011;1404.5286
