Symbol;Date;Close
AAPL;13.05.2013;64962860
AAPL;14.05.2013;63408573
AAPL;15.05.2013;61264286
AAPL;16.05.2013;62082859
AAPL;17.05.2013;61894287
AAPL;20.05.2013;63275715
AAPL;21.05.2013;62808571
AAPL;22.05.2013;63049999
AAPL;23.05.2013;63162857
AAPL;24.05.2013;63592857
AAPL;28.05.2013;63062859
AAPL;29.05.2013;63564285
AAPL;30.05.2013;64511429
AAPL;31.05.2013;64247147
AAPL;03.06.2013;64388573
AAPL;04.06.2013;64187141
AAPL;05.06.2013;63587143
AAPL;06.06.2013;62637142
AAPL;07.06.2013;63115715
AAPL;10.06.2013;62698570
AAPL;11.06.2013;62514286
AAPL;12.06.2013;61741428
AAPL;13.06.2013;62279999
AAPL;14.06.2013;61435715
AAPL;17.06.2013;61714287
AAPL;18.06.2013;61681427
AAPL;19.06.2013;60428570
AAPL;20.06.2013;59548573
AAPL;21.06.2013;59071430
AAPL;24.06.2013;57505714
AAPL;25.06.2013;57518570
AAPL;26.06.2013;56867142
AAPL;27.06.2013;56254284
AAPL;28.06.2013;56647144
AAPL;01.07.2013;58459999
AAPL;02.07.2013;59784286
AAPL;03.07.2013;60114285
AAPL;05.07.2013;59631428
AAPL;08.07.2013;59292858
AAPL;09.07.2013;60335712
AAPL;10.07.2013;60104286
AAPL;11.07.2013;61041428
AAPL;12.07.2013;60930000
AAPL;15.07.2013;61062859
AAPL;16.07.2013;61457142
AAPL;17.07.2013;61472858
AAPL;18.07.2013;61680000
AAPL;19.07.2013;60707142
AAPL;22.07.2013;60901428
AAPL;23.07.2013;59855713
AAPL;24.07.2013;62930000
AAPL;25.07.2013;62642857
AAPL;26.07.2013;62998573
AAPL;29.07.2013;63970001
AAPL;30.07.2013;64760002
AAPL;31.07.2013;64647141
AAPL;01.08.2013;65239998
AAPL;02.08.2013;66077141
AAPL;05.08.2013;67064285
AAPL;06.08.2013;66464287
AAPL;07.08.2013;66425713
AAPL;08.08.2013;65858574
AAPL;09.08.2013;64921425
AAPL;12.08.2013;66765717
AAPL;13.08.2013;69938568
AAPL;14.08.2013;71214287
AAPL;15.08.2013;71129997
AAPL;16.08.2013;71761429
AAPL;19.08.2013;72534286
AAPL;20.08.2013;71581429
AAPL;21.08.2013;71765717
AAPL;22.08.2013;71851425
AAPL;23.08.2013;71574287
AAPL;26.08.2013;71852859
AAPL;27.08.2013;69798569
AAPL;28.08.2013;70128571
AAPL;29.08.2013;70242859
AAPL;30.08.2013;69602859
AAPL;03.09.2013;69797142
AAPL;04.09.2013;71241432
AAPL;05.09.2013;70752853
AAPL;06.09.2013;71174286
AAPL;09.09.2013;72309998
AAPL;10.09.2013;70662857
AAPL;11.09.2013;66815712
AAPL;12.09.2013;67527145
AAPL;13.09.2013;66414284
AAPL;16.09.2013;64302856
AAPL;17.09.2013;65045715
AAPL;18.09.2013;66382858
AAPL;19.09.2013;67471428
AAPL;20.09.2013;66772858
AAPL;23.09.2013;70091431
AAPL;24.09.2013;69871429
AAPL;25.09.2013;68790001
AAPL;26.09.2013;69459999
AAPL;27.09.2013;68964287
AAPL;30.09.2013;68107140
AAPL;01.10.2013;69708572
AAPL;02.10.2013;69937141
AAPL;03.10.2013;69058571
AAPL;04.10.2013;69004288
AAPL;07.10.2013;69678574
AAPL;08.10.2013;68705711
AAPL;09.10.2013;69512856
AAPL;10.10.2013;69948570
AAPL;11.10.2013;70401428
AAPL;14.10.2013;70862854
AAPL;15.10.2013;71239998
AAPL;16.10.2013;71587143
AAPL;17.10.2013;72071426
AAPL;18.10.2013;72698570
AAPL;21.10.2013;74480003
AAPL;22.10.2013;74267143
AAPL;23.10.2013;74994286
AAPL;24.10.2013;75987144
AAPL;25.10.2013;75137146
AAPL;28.10.2013;75697144
AAPL;29.10.2013;73811432
AAPL;30.10.2013;74985718
AAPL;31.10.2013;74671425
AAPL;01.11.2013;74290001
AAPL;04.11.2013;75250000
AAPL;05.11.2013;75064285
AAPL;06.11.2013;74417145
AAPL;07.11.2013;73212860
AAPL;08.11.2013;74365715
AAPL;11.11.2013;74150002
AAPL;12.11.2013;74287140
AAPL;13.11.2013;74375717
AAPL;14.11.2013;75451431
AAPL;15.11.2013;74998573
AAPL;18.11.2013;74089996
AAPL;19.11.2013;74221428
AAPL;20.11.2013;73571426
AAPL;21.11.2013;74448570
AAPL;22.11.2013;74257141
AAPL;25.11.2013;74820000
AAPL;26.11.2013;76199997
AAPL;27.11.2013;77994286
AAPL;29.11.2013;79438568
AAPL;02.12.2013;78747147
AAPL;03.12.2013;80902855
AAPL;04.12.2013;80714287
AAPL;05.12.2013;81128571
AAPL;06.12.2013;80002853
AAPL;09.12.2013;80918571
AAPL;10.12.2013;80792854
AAPL;11.12.2013;80194283
AAPL;12.12.2013;80077141
AAPL;13.12.2013;79204285
AAPL;16.12.2013;79642860
AAPL;17.12.2013;79284286
AAPL;18.12.2013;78681427
AAPL;19.12.2013;77779999
AAPL;20.12.2013;78431427
AAPL;23.12.2013;81441429
AAPL;24.12.2013;81095711
AAPL;26.12.2013;80557144
AAPL;27.12.2013;80012856
AAPL;30.12.2013;79217140
AAPL;31.12.2013;80145714
AAPL;02.01.2014;79018570
AAPL;03.01.2014;77282860
AAPL;06.01.2014;77704285
AAPL;07.01.2014;77148575
AAPL;08.01.2014;77637146
AAPL;09.01.2014;76645714
AAPL;10.01.2014;76134285
AAPL;13.01.2014;76532860
AAPL;14.01.2014;78055717
AAPL;15.01.2014;79622856
AAPL;16.01.2014;79178574
AAPL;17.01.2014;77238571
AAPL;21.01.2014;78438568
AAPL;22.01.2014;78787140
AAPL;23.01.2014;79454285
AAPL;24.01.2014;78010002
AAPL;27.01.2014;78642860
AAPL;28.01.2014;72357140
AAPL;29.01.2014;71535713
AAPL;30.01.2014;71397141
AAPL;31.01.2014;71514282
AAPL;03.02.2014;71647141
AAPL;04.02.2014;72684288
AAPL;05.02.2014;73227142
AAPL;06.02.2014;73215714
AAPL;07.02.2014;74239998
AAPL;10.02.2014;75570000
AAPL;11.02.2014;76565712
AAPL;12.02.2014;76559998
AAPL;13.02.2014;77775711
AAPL;14.02.2014;77712860
AAPL;18.02.2014;77998573
AAPL;19.02.2014;76767143
AAPL;20.02.2014;75878571
AAPL;21.02.2014;75035713
AAPL;24.02.2014;75364288
AAPL;25.02.2014;74580002
AAPL;26.02.2014;73907143
AAPL;27.02.2014;75381432
AAPL;28.02.2014;75177139
AAPL;03.03.2014;75394287
AAPL;04.03.2014;75891426
AAPL;05.03.2014;76051430
AAPL;06.03.2014;75821426
AAPL;07.03.2014;75777145
