id;symbol;date;close
1;AMD;31.12.2009;9.68
2;AMD;04.01.2010;9.7
3;AMD;05.01.2010;9.71
4;AMD;06.01.2010;9.57
5;AMD;07.01.2010;9.47
6;AMD;08.01.2010;9.43
7;AMD;11.01.2010;9.14
8;AMD;12.01.2010;8.65
9;AMD;13.01.2010;9.15
10;AMD;14.01.2010;9
11;AMD;15.01.2010;8.84
12;AMD;19.01.2010;9.01
13;AMD;20.01.2010;8.87
14;AMD;21.01.2010;8.99
15;AMD;22.01.2010;7.88
16;AMD;25.01.2010;8.07
17;AMD;26.01.2010;8.09
18;AMD;27.01.2010;8.19
19;AMD;28.01.2010;7.88
20;AMD;29.01.2010;7.46
21;AMD;01.02.2010;7.98
22;AMD;02.02.2010;7.91
23;AMD;03.02.2010;7.81
24;AMD;04.02.2010;7.19
25;AMD;05.02.2010;7.35
26;AMD;08.02.2010;7.42
27;AMD;09.02.2010;7.54
28;AMD;10.02.2010;7.64
29;AMD;11.02.2010;7.84
30;AMD;12.02.2010;7.87
31;AMD;16.02.2010;8.06
32;AMD;17.02.2010;8.03
33;AMD;18.02.2010;7.95
34;AMD;19.02.2010;7.93
35;AMD;22.02.2010;7.9
36;AMD;23.02.2010;7.79
37;AMD;24.02.2010;8.05
38;AMD;25.02.2010;7.89
39;AMD;26.02.2010;7.91
40;AMD;01.03.2010;8.21
41;AMD;02.03.2010;8.38
42;AMD;03.03.2010;8.35
43;AMD;04.03.2010;8.5
44;AMD;05.03.2010;8.61
45;AMD;08.03.2010;8.64
46;AMD;09.03.2010;8.63
47;AMD;10.03.2010;8.92
48;AMD;11.03.2010;8.95
49;AMD;12.03.2010;8.93
50;AMD;15.03.2010;8.92
51;AMD;16.03.2010;9.4
52;AMD;17.03.2010;9.67
53;AMD;18.03.2010;9.39
54;AMD;19.03.2010;9.11
55;AMD;22.03.2010;9.31
56;AMD;23.03.2010;9.45
57;AMD;24.03.2010;9.23
58;AMD;25.03.2010;9.03
59;AMD;26.03.2010;9.02
60;AMD;29.03.2010;9.11
61;AMD;30.03.2010;9.27
62;AMD;31.03.2010;9.27
63;AMD;01.04.2010;9.37
64;AMD;05.04.2010;9.53
65;AMD;06.04.2010;9.35
66;AMD;07.04.2010;9.66
67;AMD;08.04.2010;9.42
68;AMD;09.04.2010;9.3
69;AMD;12.04.2010;9.42
70;AMD;13.04.2010;9.56
71;AMD;14.04.2010;9.89
72;AMD;15.04.2010;10.16
73;AMD;16.04.2010;9.81
74;AMD;19.04.2010;9.58
75;AMD;20.04.2010;9.77
76;AMD;21.04.2010;9.78
77;AMD;22.04.2010;9.86
78;AMD;23.04.2010;9.76
79;AMD;26.04.2010;9.97
80;AMD;27.04.2010;9.58
81;AMD;28.04.2010;9.55
82;AMD;29.04.2010;9.72
83;AMD;30.04.2010;9.07
84;AMD;03.05.2010;9.29
85;AMD;04.05.2010;8.68
86;AMD;05.05.2010;8.58
87;AMD;06.05.2010;8.27
88;AMD;07.05.2010;8.38
89;AMD;10.05.2010;8.99
90;AMD;11.05.2010;9.07
91;AMD;12.05.2010;9.49
92;AMD;13.05.2010;9.42
93;AMD;14.05.2010;8.8
94;AMD;17.05.2010;8.85
95;AMD;18.05.2010;8.42
96;AMD;19.05.2010;8.47
97;AMD;20.05.2010;8.09
98;AMD;21.05.2010;8.4
99;AMD;24.05.2010;8.09
100;AMD;25.05.2010;8.15
101;AMD;26.05.2010;8.22
102;AMD;27.05.2010;8.8
103;AMD;28.05.2010;8.57
104;AMD;01.06.2010;8.14
105;AMD;02.06.2010;8.54
106;AMD;03.06.2010;8.69
107;AMD;04.06.2010;8.105
108;AMD;07.06.2010;7.71
109;AMD;08.06.2010;7.77
110;AMD;09.06.2010;7.61
111;AMD;10.06.2010;8.01
112;AMD;11.06.2010;8.12
113;AMD;14.06.2010;8.28
114;AMD;15.06.2010;8.82
115;AMD;16.06.2010;8.9
116;AMD;17.06.2010;8.91
