Symbol,Date,Close
AMD,12/31/2009,9.68
AMD,1/4/2010,9.7
AMD,1/5/2010,9.71
AMD,1/6/2010,9.57
AMD,1/7/2010,9.47
AMD,1/8/2010,9.43
AMD,1/11/2010,9.14
AMD,1/12/2010,8.65
AMD,1/13/2010,9.15
AMD,1/14/2010,9
AMD,1/15/2010,8.84
AMD,1/19/2010,9.01
AMD,1/20/2010,8.87
AMD,1/21/2010,8.99
AMD,1/22/2010,7.88
AMD,1/25/2010,8.07
AMD,1/26/2010,8.09
AMD,1/27/2010,8.19
AMD,1/28/2010,7.88
AMD,1/29/2010,7.46
AMD,2/1/2010,7.98
AMD,2/2/2010,7.91
AMD,2/3/2010,7.81
AMD,2/4/2010,7.19
AMD,2/5/2010,7.35
AMD,2/8/2010,7.42
AMD,2/9/2010,7.54
AMD,2/10/2010,7.64
AMD,2/11/2010,7.84
AMD,2/12/2010,7.87
AMD,2/16/2010,8.06
AMD,2/17/2010,8.03
AMD,2/18/2010,7.95
AMD,2/19/2010,7.93
AMD,2/22/2010,7.9
AMD,2/23/2010,7.79
AMD,2/24/2010,8.05
AMD,2/25/2010,7.89
AMD,2/26/2010,7.91
AMD,3/1/2010,8.21
AMD,3/2/2010,8.38
AMD,3/3/2010,8.35
AMD,3/4/2010,8.5
AMD,3/5/2010,8.61
AMD,3/8/2010,8.64
AMD,3/9/2010,8.63
AMD,3/10/2010,8.92
AMD,3/11/2010,8.95
AMD,3/12/2010,8.93
AMD,3/15/2010,8.92
AMD,3/16/2010,9.4
AMD,3/17/2010,9.67
AMD,3/18/2010,9.39
AMD,3/19/2010,9.11
AMD,3/22/2010,9.31
AMD,3/23/2010,9.45
AMD,3/24/2010,9.23
AMD,3/25/2010,9.03
AMD,3/26/2010,9.02
AMD,3/29/2010,9.11
AMD,3/30/2010,9.27
AMD,3/31/2010,9.27
AMD,4/1/2010,9.37
AMD,4/5/2010,9.53
AMD,4/6/2010,9.35
AMD,4/7/2010,9.66
AMD,4/8/2010,9.42
AMD,4/9/2010,9.3
AMD,4/12/2010,9.42
AMD,4/13/2010,9.56
AMD,4/14/2010,9.89
