Symbol;Date;Close
AAPL;13.05.2013;64.96286
AAPL;14.05.2013;63.408573
AAPL;15.05.2013;61.264286
AAPL;16.05.2013;62.082859
AAPL;17.05.2013;61.894287
AAPL;20.05.2013;63.275715
AAPL;21.05.2013;62.808571
AAPL;22.05.2013;63.049999
AAPL;23.05.2013;63.162857
AAPL;24.05.2013;63.592857
AAPL;28.05.2013;63.062859
AAPL;29.05.2013;63.564285
AAPL;30.05.2013;64.511429
AAPL;31.05.2013;64.247147
AAPL;03.06.2013;64.388573
AAPL;04.06.2013;64.187141
AAPL;05.06.2013;63.587143
AAPL;06.06.2013;62.637142
AAPL;07.06.2013;63.115715
AAPL;10.06.2013;62.69857
AAPL;11.06.2013;62.514286
AAPL;12.06.2013;61.741428
AAPL;13.06.2013;62.279999
AAPL;14.06.2013;61.435715
AAPL;17.06.2013;61.714287
AAPL;18.06.2013;61.681427
AAPL;19.06.2013;60.42857
AAPL;20.06.2013;59.548573
AAPL;21.06.2013;59.07143
AAPL;24.06.2013;57.505714
AAPL;25.06.2013;57.51857
AAPL;26.06.2013;56.867142
AAPL;27.06.2013;56.254284
AAPL;28.06.2013;56.647144
AAPL;01.07.2013;58.459999
AAPL;02.07.2013;59.784286
AAPL;03.07.2013;60.114285
AAPL;05.07.2013;59.631428
AAPL;08.07.2013;59.292858
AAPL;09.07.2013;60.335712
AAPL;10.07.2013;60.104286
AAPL;11.07.2013;61.041428
AAPL;12.07.2013;60.93
AAPL;15.07.2013;61.062859
AAPL;16.07.2013;61.457142
AAPL;17.07.2013;61.472858
AAPL;18.07.2013;61.68
AAPL;19.07.2013;60.707142
AAPL;22.07.2013;60.901428
AAPL;23.07.2013;59.855713
AAPL;24.07.2013;62.93
AAPL;25.07.2013;62.642857
AAPL;26.07.2013;62.998573
AAPL;29.07.2013;63.970001
AAPL;30.07.2013;64.760002
AAPL;31.07.2013;64.647141
AAPL;01.08.2013;65.239998
AAPL;02.08.2013;66.077141
AAPL;05.08.2013;67.064285
AAPL;06.08.2013;66.464287
AAPL;07.08.2013;66.425713
AAPL;08.08.2013;65.858574
AAPL;09.08.2013;64.921425
AAPL;12.08.2013;66.765717
AAPL;13.08.2013;69.938568
AAPL;14.08.2013;71.214287
AAPL;15.08.2013;71.129997
AAPL;16.08.2013;71.761429
AAPL;19.08.2013;72.534286
AAPL;20.08.2013;71.581429
AAPL;21.08.2013;71.765717
AAPL;22.08.2013;71.851425
AAPL;23.08.2013;71.574287
AAPL;26.08.2013;71.852859
AAPL;27.08.2013;69.798569
AAPL;28.08.2013;70.128571
AAPL;29.08.2013;70.242859
AAPL;30.08.2013;69.602859
AAPL;03.09.2013;69.797142
AAPL;04.09.2013;71.241432
AAPL;05.09.2013;70.752853
AAPL;06.09.2013;71.174286
AAPL;09.09.2013;72.309998
AAPL;10.09.2013;70.662857
AAPL;11.09.2013;66.815712
AAPL;12.09.2013;67.527145
AAPL;13.09.2013;66.414284
AAPL;16.09.2013;64.302856
