Code;Name;CountryISO;ISIN;CCY;Sector;Industry;GicSector;GicGroup;GicIndustry;GicSubIndustry;HQ;FullTimeEmployees;WebURL;UpdateDate;ActiveFlag
AADI US;Aadi Bioscience Inc;US;US00032Q1040;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;89;https://aadibio.com;17.09.2023;1
AALB AS;Aalberts Industries NV;NL;NL0000852564;EUR;Industrials;Specialty Industrial Machinery;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;Netherlands;14597;https://www.aalberts.com;19.10.2023;1
AAON US;AAON Inc;US;US0003602069;USD;Industrials;Building Products & Equipment;Industrials;Capital Goods;Building Products;Building Products;United States;3666;https://www.aaon.com;19.09.2023;1
AAQ1 F;aap Implantate AG;DE;DE000A3H2101;EUR;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;Germany;111;https://www.aap.de;05.09.2023;1
AIR US;AAR Corp;US;US0003611052;USD;Industrials;Aerospace & Defense;Industrials;Capital Goods;Aerospace & Defense;Aerospace & Defense;United States;5000;https://www.aarcorp.com;19.09.2023;1
ARL F;Aareal Bank AG;DE;DE0005408116;EUR;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;Germany;2593;https://www.aareal-bank.com;19.09.2023;1
AAN US;Aarons Inc;US;US00258W1080;USD;Industrials;Rental & Leasing Services;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Specialty Retail;Homefurnishing Retail;United States;10060;https://www.aarons.com;18.09.2023;1
AB PA;AB Science S.A;FR;FR0010557264;EUR;Healthcare;Drug Manufacturers - Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;France;89;https://www.ab-science.com;18.10.2023;1
ABBN SW;ABB Ltd;CH;CH0012221716;CHF;Industrials;Electrical Equipment & Parts;Industrials;Capital Goods;Electrical Equipment;Electrical Components & Equipment;Switzerland;104720;https://global.abb/group/en;05.09.2023;1
ABT US;Abbott Laboratories;US;US0028241000;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;115000;https://www.abbott.com;19.09.2023;1
ABBV US;AbbVie Inc;US;US00287Y1091;USD;Healthcare;Drug Manufacturers-General;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;50000;https://www.abbvie.com;18.09.2023;1
ABCA PA;ABC arbitrage SA;FR;FR0004040608;EUR;Financial Services;Asset Management;Financials;Financial Services;Capital Markets;Asset Management & Custody Banks;France;101;https://www.abc-arbitrage.com;18.10.2023;1
ABEO PA;Abeo SAS;FR;FR0013185857;EUR;Consumer Cyclical;Leisure;Consumer Discretionary;Consumer Durables & Apparel;Leisure Products;Leisure Products;France;1391;https://www.groupe-abeo.fr;19.10.2023;1
ABEO US;Abeona Therapeutics Inc;US;US00289Y1073;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;57;https://www.abeonatherapeutics.com;19.09.2023;1
ANF US;Abercrombie & Fitch Company;US;US0028962076;USD;Consumer Cyclical;Apparel Retail;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Specialty Retail;Apparel Retail;United States;7200;https://www.abercrombie.com;18.09.2023;1
ABVX PA;Abivax SA;FR;FR0012333284;EUR;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;France;26;https://www.abivax.com;19.10.2023;1
ABM US;ABM Industries Incorporated;US;US0009571003;USD;Industrials;Specialty Business Services;Industrials;Commercial & Professional Services;Commercial Services & Supplies;Environmental & Facilities Services;United States;127000;https://www.abm.com;19.09.2023;1
ABN AS;ABN Amro Group NV;NL;NL0011540547;EUR;Financial Services;Banks - Diversified;Financials;Banks;Banks;Diversified Banks;Netherlands;20153;https://www.abnamro.nl;19.10.2023;1
AB9 XETRA;ABO Wind AG;DE;DE0005760029;EUR;Industrials;Engineering & Construction;Industrials;Capital Goods;Construction & Engineering;Construction & Engineering;Germany;1135;https://www.abo-wind.com;09.09.2023;1
YOU F;ABOUT YOU Holding AG;DE;DE000A3CNK42;EUR;Consumer Cyclical;Internet Retail;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Internet & Direct Marketing Retail;Internet & Direct Marketing Retail;Germany;1257;https://www.aboutyou.de;05.09.2023;1
ABSI US;Absci Corp;US;US00091E1091;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;193;https://www.absci.com;17.09.2023;1
ABVC US;ABVC Biopharma Inc;US;US00091F1066;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;19;https://www.abvcpharma.com;19.09.2023;1
ACTG US;Acacia Research Corporation;US;US0038813079;USD;Industrials;Business Equipment & Supplies;Industrials;Commercial & Professional Services;Professional Services;Research & Consulting Services;United States;263;https://www.acaciaresearch.com;19.09.2023;1
ACHC US;Acadia Healthcare Company Inc;US;US00404A1097;USD;Healthcare;Medical Care Facilities;Health Care;Health Care Equipment & Services;Health Care Providers & Services;Health Care Facilities;United States;17000;https://www.acadiahealthcare.com;18.09.2023;1
ACAD US;ACADIA Pharmaceuticals Inc;US;US0042251084;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;540;https://www.acadia-pharm.com;19.09.2023;1
AKR US;Acadia Realty Trust;US;US0042391096;USD;Real Estate;REIT-Retail;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Retail REITs;United States;115;https://www.acadiarealty.com;18.09.2023;1
ACEL US;Accel Entertainment Inc;US;US00436Q1067;USD;Consumer Cyclical;Gambling;Consumer Discretionary;Consumer Services;Hotels, Restaurants & Leisure;Casinos & Gaming;United States;1300;https://www.accelentertainment.com;17.09.2023;1
AXDX US;Accelerate Diagnostics Inc;US;US00430H1023;USD;Healthcare;Medical Devices;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Life Sciences Tools & Services;Life Sciences Tools & Services;United States;179;https://acceleratediagnostics.com;17.09.2023;1
ACLN SW;Accelleron Industries AG;CH;CH1169360919;CHF;Industrials;Aerospace & Defense;Industrials;Capital Goods;Aerospace & Defense;Aerospace & Defense;Switzerland;2500;https://www.accelleron-industries.com;05.09.2023;1
A4Y F;Accentro Real Estate AG;DE;DE000A0KFKB3;EUR;Real Estate;Real Estate Services;Real Estate;Equity Real Estate Investment Trusts (REITs);Real Estate Management & Development;Real Estate Operating Companies;Germany;101;https://www.accentro.ag;20.09.2023;1
ACCO US;Acco Brands Corporation;US;US00081T1088;USD;Industrials;Business Equipment & Supplies;Industrials;Commercial & Professional Services;Commercial Services & Supplies;Office Services & Supplies;United States;6000;https://www.accobrands.com;18.09.2023;1
AC PA;Accor S. A.;FR;FR0000120404;EUR;Consumer Cyclical;Lodging;Consumer Discretionary;Consumer Services;Hotels, Restaurants & Leisure;Hotels, Resorts & Cruise Lines;France;17334;https://www.group.accor.com/en;19.10.2023;1
ARAY US;Accuray Incorporated;US;US0043971052;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;1024;https://www.accuray.com;19.09.2023;1
ACRX US;AcelRx Pharmaceuticals Inc;US;US00444T1007;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;19;https://www.acelrx.com;19.09.2023;1
ACER US;Acer Therapeutics Inc;US;US00444P1084;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;30;https://www.acertx.com;19.09.2023;1
ALALO PA;Acheter Louer;FR;FR001400BJ77;EUR;Communication Services;Advertising Agencies;Communication Services;Media & Entertainment;Interactive Media & Services;Interactive Media & Services;France;16;https://www.acheter-louer.fr;18.10.2023;1
ACHI SW;Achiko AG;CH;CH0522213468;CHF;Healthcare;Health Information Services;Health Care;Health Care Equipment & Services;Health Care Technology;Health Care Technology;Switzerland;10;https://www.achiko.com;05.09.2023;1
ACIW US;ACI Worldwide Inc;US;US0044981019;USD;Technology;Software-Infrastructure;Information Technology;Software & Services;Software;Application Software;United States;3349;https://www.aciworldwide.com;19.09.2023;1
ACON US;Aclarion Inc;US;US6551871022;USD;Healthcare;Health Information Services;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;7;https://www.aclarion.com;17.09.2023;1
ACRS US;Aclaris Therapeutics Inc;US;US00461U1051;USD;Healthcare;Diagnostics & Research;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;100;https://www.aclaristx.com;19.09.2023;1
ACMR US;Acm Research Inc;US;US00108J1097;USD;Technology;Semiconductor Equipment & Materials;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductor Materials & Equipment;United States;1209;https://www.acmrcsh.com;19.09.2023;1
ACNB US;ACNB Corporation;US;US0008681092;USD;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;United States;397;https://www.acnb.com;18.09.2023;1
ACOR US;Acorda Therapeutics Inc;US;US00484M6012;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;111;https://www.acorda.com;18.09.2023;1
EOS PA;ACTEOS S.A;FR;FR0000076861;EUR;Technology;Software - Application;Information Technology;Software & Services;Software;Application Software;France;85;https://www.acteos.com;18.10.2023;1
ALACT PA;Acticor Biotech SAS;FR;FR0014005OJ5;EUR;Healthcare;Biotechnology;Communication Services;Media & Entertainment;Media;Advertising;France;29;https://acticor-biotech.com;19.10.2023;1
ATVI US;Activision Blizzard Inc;US;US00507V1098;USD;Communication Services;Electronic Gaming & Multimedia;Communication Services;Media & Entertainment;Entertainment;Interactive Home Entertainment;United States;13000;https://www.activisionblizzard.com;19.09.2023;1
AYI US;Acuity Brands Inc;US;US00508Y1029;USD;Industrials;Electrical Equipment & Parts;Industrials;Capital Goods;Electrical Equipment;Electrical Components & Equipment;United States;13000;https://www.acuitybrands.com;19.09.2023;1
ABOS US;Acumen Pharmaceuticals Inc;US;US00509G2093;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;39;https://acumenpharm.com;17.09.2023;1
ACXP US;Acurx Pharmaceuticals LLC;US;US00510M1045;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;4;https://www.acurxpharma.com;17.09.2023;1
GOLF US;Acushnet Holdings Corp;US;US0050981085;USD;Consumer Cyclical;Leisure;Consumer Discretionary;Consumer Durables & Apparel;Leisure Products;Leisure Products;United States;7300;https://www.acushnetholdingscorp.com;19.09.2023;1
APM XETRA;ad pepper media International N.V;DE;NL0000238145;EUR;Communication Services;Advertising Agencies;Communication Services;Media & Entertainment;Media;Advertising;Germany;249;https://adpeppergroup.com;18.10.2023;1
ADMP US;Adamis Pharma;US;US00547W2089;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;11;https://www.adamispharmaceuticals.com;18.09.2023;1
AHCO US;Adapthealth Corp;US;US00653Q1022;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Providers & Services;Health Care Distributors;United States;10900;https://adapthealth.com;17.09.2023;1
ADPT US;Adaptive Biotechnologies Corp;US;US00650F1093;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Life Sciences Tools & Services;Life Sciences Tools & Services;United States;790;https://www.adaptivebiotech.com;19.09.2023;1
ADC F;AdCapital AG;DE;DE0005214506;EUR;Financial Services;Asset Management;Financials;Financial Services;Capital Markets;Asset Management & Custody Banks;Germany;1053;https://www.adcapital.de;20.09.2023;1
ADXN SW;Addex Therapeutics Ltd;CH;CH0029850754;CHF;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;Switzerland;24;https://www.addextherapeutics.com;20.09.2023;1
ADUS US;Addus HomeCare Corporation;US;US0067391062;USD;Healthcare;Medical Care Facilities;Health Care;Health Care Equipment & Services;Health Care Providers & Services;Health Care Services;United States;6284;https://addus.com;19.09.2023;1
AEY US;ADDvantage Technologies Group Inc;US;US0067433062;USD;Technology;Electronics & Computer Distribution;Information Technology;Technology Hardware & Equipment;Electronic Equipment, Instruments & Components;Technology Distributors;United States;145;https://www.addvantagetechnologies.com;18.09.2023;1
ADEN SW;Adecco Group AG Class N;CH;CH0012138605;CHF;Industrials;Staffing & Employment Services;Industrials;Commercial & Professional Services;Professional Services;Human Resource & Employment Services;Switzerland;38243;https://www.adeccogroup.com;05.09.2023;1
ADN1 XETRA;Adesso SE;DE;DE000A0Z23Q5;EUR;Technology;Information Technology Services;Information Technology;Software & Services;IT Services;Data Processing & Outsourced Services;Germany;8856;https://www.adesso.de;19.10.2023;1
ALARF PA;Adeunis;FR;FR0013284627;EUR;Technology;Communication Equipment;Information Technology;Technology Hardware & Equipment;Communications Equipment;Communications Equipment;France;34;https://www.adeunis.com;19.10.2023;1
ADIL US;Adial Pharmaceuticals Inc;US;US00688A1060;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;16;https://www.adialpharma.com;17.09.2023;1
ACET US;Adicet Bio Inc;US;US0070021086;USD;Healthcare;Biotechnology;Health Care;Health Care Equipment & Services;Health Care Providers & Services;Health Care Distributors;United States;132;https://www.adicetbio.com;19.09.2023;1
ADS XETRA;adidas AG;DE;DE000A1EWWW0;EUR;Consumer Cyclical;Footwear & Accessories;Consumer Discretionary;Consumer Durables & Apparel;Textiles, Apparel & Luxury Goods;Footwear;Germany;57334;https://www.adidas-group.com;18.10.2023;1
ADTX US;Aditxt Inc. ;US;US0070251097;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;61;https://www.aditxt.com;17.09.2023;1
OEL F;ADM Hamburg Aktiengesellschaft;DE;DE0007269003;EUR;Consumer Defensive;Packaged Foods;Consumer Staples;Food, Beverage & Tobacco;Food Products;Packaged Foods & Meats;Germany;487;https://www.oelag.de;20.09.2023;1
ADMA US;ADMA Biologics Inc;US;US0008991046;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;617;https://www.admabiologics.com;18.09.2023;1
ADL F;ADO Properties SA;DE;DE0005008007;EUR;Real Estate;Real Estate Services;Real Estate;Equity Real Estate Investment Trusts (REITs);Real Estate Management & Development;Real Estate Operating Companies;Germany;254;https://www.adler-ag.com;19.09.2023;1
ADBE US;Adobe Systems Incorporated;US;US00724F1012;USD;Technology;Software-Infrastructure;Information Technology;Software & Services;Software;Application Software;United States;29239;https://www.adobe.com;19.09.2023;1
ADOC PA;Adocia;FR;FR0011184241;EUR;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;France;97;https://www.adocia.com;18.10.2023;1
ALADO PA;Adomos SA;FR;FR0013247244;EUR;Real Estate;Real Estate Services;Real Estate;Equity Real Estate Investment Trusts (REITs);Real Estate Management & Development;Real Estate Services;France;22;https://www.adomos.com;18.10.2023;1
ATGE US;Adtalem Global Education Inc;US;US00737L1035;USD;Consumer Defensive;Education & Training Services;Consumer Discretionary;Consumer Services;Diversified Consumer Services;Education Services;United States;4368;https://www.adtalem.com;19.09.2023;1
ADTH US;AdTheorent Holding Company Inc;US;US00739D1090;USD;Communication Services;Advertising Agencies;Communication Services;Media & Entertainment;Entertainment;Movies & Entertainment;United States;297;https://www.adtheorent.com;17.09.2023;1
ADTN US;ADTRAN Inc;US;US00486H1059;USD;Technology;Communication Equipment;Information Technology;Technology Hardware & Equipment;Communications Equipment;Communications Equipment;United States;3307;https://www.adtran.com;18.09.2023;1
ADUX PA;AdUX SA;FR;FR0012821890;EUR;Communication Services;Advertising Agencies;Communication Services;Media & Entertainment;Media;Advertising;France;47;https://www.adux.com;19.10.2023;1
ADV F;ADVA Optical Networking SE;DE;DE0005103006;EUR;Technology;Communication Equipment;Information Technology;Technology Hardware & Equipment;Communications Equipment;Communications Equipment;Germany;2089;https://www.adva.com;19.09.2023;1
ADVN SW;Adval Tech Holding AG;CH;CH0008967926;CHF;Industrials;Metal Fabrication;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;Switzerland;1047;https://www.advaltech.com;20.09.2023;1
AAP US;Advance Auto Parts Inc;US;US00751Y1064;USD;Consumer Cyclical;Specialty Retail;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Specialty Retail;Automotive Retail;United States;40000;https://www.advanceautoparts.com;19.09.2023;1
BWQ XETRA;Advanced Blockchain AG;DE;DE000A0M93V6;EUR;Technology;Software - Application;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Internet & Direct Marketing Retail;Internet & Direct Marketing Retail;Germany;30;https://www.advancedblockchain.com;05.09.2023;1
WMS US;Advanced Drainage Systems Inc;US;US00790R1041;USD;Industrials;Building Products & Equipment;Industrials;Capital Goods;Building Products;Building Products;United States;5870;https://www.adspipe.com;20.09.2023;1
AEIS US;Advanced Energy Industries Inc;US;US0079731008;USD;Industrials;Electrical Equipment & Parts;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductor Materials & Equipment;United States;12000;https://www.advancedenergy.com;19.09.2023;1
AMD US;Advanced Micro Devices Inc;US;US0079031078;USD;Technology;Semiconductors;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductors;United States;25000;https://www.amd.com;18.09.2023;1
ASIX US;AdvanSix Inc;US;US00773T1016;USD;Basic Materials;Chemicals;Materials;Materials;Chemicals;Commodity Chemicals;United States;1458;https://www.advansix.com;19.09.2023;1
ADV US;Advantage Solutions Inc;US;US00791N1028;USD;Communication Services;Advertising Agencies;Communication Services;Media & Entertainment;Entertainment;Movies & Entertainment;United States;22000;https://advantagesolutions.net;17.09.2023;1
ADN US;Advent Technologies Holdings Inc;US;US00788A1051;USD;Utilities;Utilities-Renewable;Utilities;Utilities;Electric Utilities;Electric Utilities;United States;175;https://www.advent.energy;17.09.2023;1
ADVM US;Adverum Biotechnologies Inc;US;US00773U1088;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;123;https://www.adverum.com;19.09.2023;1
ADYEN AS;Adyen NV;NL;NL0012969182;EUR;Technology;Software - Infrastructure;Information Technology;Software & Services;IT Services;Data Processing & Outsourced Services;Netherlands;3883;https://www.adyen.com;02.09.2023;1
ACM US;Aecom Technology Corporation;US;US00766T1007;USD;Industrials;Engineering & Construction;Industrials;Capital Goods;Construction & Engineering;Construction & Engineering;United States;50000;https://aecom.com;18.09.2023;1
AGLE US;Aeglea Bio Therapeutics Inc;US;US00773J1034;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;14;https://www.aeglea.com;19.09.2023;1
AGN AS;Aegon NV;NL;NL0000303709;EUR;Financial Services;Insurance - Diversified;Financials;Insurance;Insurance;Multi-line Insurance;Netherlands;18500;https://www.aegon.com;19.10.2023;1
AEHR US;Aehr Test Systems;US;US00760J1088;USD;Technology;Semiconductor Equipment & Materials;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductor Materials & Equipment;United States;104;https://www.aehr.com;19.09.2023;1
AELIS PA;Aelis Farma SA;FR;FR0014007ZB4;EUR;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;France;22;https://www.aelisfarma.com;10.10.2023;1
AMTX US;Aemetis Inc;US;US00770K2024;USD;Energy;Oil & Gas Refining & Marketing;Energy;Energy;Oil, Gas & Consumable Fuels;Oil & Gas Refining & Marketing;United States;167;https://www.aemetis.com;19.09.2023;1
ADP PA;Aeroports de Paris SA;FR;FR0010340141;EUR;Industrials;Airports & Air Services;Industrials;Transportation;Transportation Infrastructure;Airport Services;France;26184;https://www.parisaeroport.fr;18.10.2023;1
AVTE US;Aerovate Therapeutics Inc;US;US0080641071;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;43;https://aerovatetx.com;17.09.2023;1
AVAV US;AeroVironment Inc;US;US0080731088;USD;Industrials;Aerospace & Defense;Industrials;Capital Goods;Aerospace & Defense;Aerospace & Defense;United States;1259;https://www.avinc.com;19.09.2023;1
ASLE US;AerSale Corp;US;US00810F1066;USD;Industrials;Airports & Air Services;Industrials;Transportation;Ground Transportation;Trucking;United States;606;https://www.aersale.com;17.09.2023;1
AEMD US;Aethlon Medical Inc;US;US00808Y3071;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;15;https://www.aethlonmedical.com;19.09.2023;1
AEVA US;Aeva Technologies Inc;US;US00835Q1031;USD;Technology;Software-Infrastructure;Consumer Discretionary;Automobiles & Components;Automobile Components;Automotive Parts & Equipment;United States;306;https://www.aeva.com;17.09.2023;1
AEVS SW;Aevis Victoria SA;CH;CH0478634105;CHF;Healthcare;Medical Care Facilities;Health Care;Health Care Equipment & Services;Health Care Providers & Services;Health Care Facilities;Switzerland;3902;https://www.aevis.com;20.09.2023;1
AJAX AS;AFC Ajax NV;NL;NL0000018034;EUR;Communication Services;Entertainment;Communication Services;Media & Entertainment;Entertainment;Movies & Entertainment;Netherlands;449;https://www.ajax.nl;18.10.2023;1
AMG US;Affiliated Managers Group Inc;US;US0082521081;USD;Financial Services;Asset Management;Financials;Financial Services;Capital Markets;Asset Management & Custody Banks;United States;3950;https://www.amg.com;18.09.2023;1
A28 F;Affimed N.V;DE;NL0010872420;EUR;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;Germany;219;https://www.affimed.com;05.09.2023;1
AFBI US;Affinity Bancshares Inc;US;US00832E1038;USD;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;United States;89;https://myaffinitybank.com;17.09.2023;1
AFRM US;Affirm Holdings Inc;US;US00827B1061;USD;Technology;Software-Infrastructure;Information Technology;Software & Services;IT Services;Data Processing & Outsourced Services;United States;2171;https://www.affirm.com;17.09.2023;1
AFME PA;Affluent Medical SAS;FR;FR0013333077;EUR;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;France;52;https://www.affluentmedical.com;05.10.2023;1
AFL US;Aflac Incorporated;US;US0010551028;USD;Financial Services;Insurance-Life;Financials;Insurance;Insurance;Life & Health Insurance;United States;12882;https://www.aflac.com;18.09.2023;1
ALAFY PA;Afyren SAS;FR;FR0014005AC9;EUR;Basic Materials;Specialty Chemicals;Materials;Materials;Chemicals;Specialty Chemicals;France;110;https://afyren.com;23.09.2023;1
AGCO US;AGCO Corporation;US;US0010841023;USD;Industrials;Farm & Heavy Construction Machinery;Industrials;Capital Goods;Machinery;Agricultural & Farm Machinery;United States;25600;https://www.agcocorp.com;18.09.2023;1
AGEN US;Agenus Inc;US;US00847G7051;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;533;https://www.agenusbio.com;19.09.2023;1
AGRX US;Agile Thrpe;US;US00847L2097;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;22;https://www.agiletherapeutics.com;19.09.2023;1
A US;Agilent Technologies Inc;US;US00846U1016;USD;Healthcare;Diagnostics & Research;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Life Sciences Tools & Services;Life Sciences Tools & Services;United States;18300;https://www.agilent.com;19.09.2023;1
AGIL US;AgileThought Inc;US;US00857F1003;USD;Technology;Information Technology Services;Information Technology;Software & Services;Software;Application Software;United States;2186;https://www.agilethought.com;19.09.2023;1
AGTI US;Agiliti Inc;US;US00848J1043;USD;Healthcare;Health Information Services;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;6000;https://www.agilitihealth.com;17.09.2023;1
AGL US;agilon health Inc;US;US00857U1079;USD;Healthcare;Medical Care Facilities;Health Care;Health Care Equipment & Services;Health Care Providers & Services;Health Care Services;United States;747;https://agilonhealth.com;17.09.2023;1
AGYS US;Agilysys Inc;US;US00847J1051;USD;Technology;Software-Application;Information Technology;Software & Services;Software;Application Software;United States;1600;https://www.agilysys.com;18.09.2023;1
AGIO US;Agios Pharm;US;US00847X1046;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;389;https://www.agios.com;19.09.2023;1
AGNC US;AGNC Investment Corp;US;US00123Q1040;USD;Real Estate;REIT-Mortgage;Financials;Financial Services;Mortgage Real Estate Investment Trusts (REITs);Mortgage REITs;United States;51;https://www.agnc.com;18.09.2023;1
ADC US;Agree Realty Corporation;US;US0084921008;USD;Real Estate;REIT-Retail;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Retail REITs;United States;76;https://www.agreerealty.com;18.09.2023;1
ALAGP PA;Agripower France Sa;FR;FR0013452281;EUR;Utilities;Utilities - Renewable;Utilities;Utilities;Independent Power and Renewable Electricity Producers;Renewable Electricity;France;26;https://www.agripower-france.com;05.09.2023;1
AGR F;AGROB Immobilien AG;DE;DE0005019004;EUR;Real Estate;Real Estate Services;Real Estate;Equity Real Estate Investment Trusts (REITs);Real Estate Management & Development;Real Estate Operating Companies;Germany;8;https://www.agrob-ag.de;02.09.2023;1
AGR3 F;AGROB Immobilien AG;DE;DE0005019038;EUR;Real Estate;Real Estate Services;Real Estate;Equity Real Estate Investment Trusts (REITs);Real Estate Management & Development;Real Estate Operating Companies;Germany;8;https://www.agrob-ag.de;05.09.2023;1
ALAGR PA;Agrogeneration;FR;FR0010641449;EUR;Consumer Defensive;Farm Products;Consumer Staples;Food, Beverage & Tobacco;Food Products;Agricultural Products & Services;France;615;https://www.agrogeneration.com;18.10.2023;1
AAH F;Ahlers AG;DE;DE0005009740;EUR;Consumer Cyclical;Apparel Manufacturing;Consumer Discretionary;Consumer Durables & Apparel;Textiles, Apparel & Luxury Goods;Apparel, Accessories & Luxury Goods;Germany;1643;https://www.ahlers-ag.com;20.09.2023;1
3SQ1 F;AHT Syngas Technology NV;DE;NL0010872388;EUR;Utilities;Utilities-Independent Power Producers;Utilities;Utilities;Independent Power and Renewable Electricity Producers;Independent Power Producers & Energy Traders;Germany;4;https://www.aht-syngas.com;05.09.2023;1
EBE XETRA;aifinyo AG;DE;DE000A2G8XP9;EUR;Financial Services;Credit Services;Financials;Financial Services;Consumer Finance;Consumer Finance;Germany;80;https://www.aifinyo.de;05.09.2023;1
ALRN US;Aileron Therapeutics Inc;US;US00887A1051;USD;Healthcare;Biotechnology;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Biotechnology;Biotechnology;United States;6;https://www.aileronrx.com;18.09.2023;1
