Code;Name;CountryISO;ISIN;CCY;Sector;Industry;GicSector;GicGroup;GicIndustry;GicSubIndustry;HQ;FullTimeEmployees;WebURL;UpdateDate;ActiveFlag
SIEN US;Sientra Inc;US;US82621J1051;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Supplies;United States;304;https://sientra.com;19.09.2023;1
BSRR US;Sierra Bancorp;US;US82620P1021;USD;Financial Services;Banks-Regional;Financials;Banks;Banks;Regional Banks;United States;501;https://www.sierrabancorp.com;19.09.2023;1
SIFG AS;Sif Holding NV;NL;NL0011660485;EUR;Industrials;Metal Fabrication;Industrials;Capital Goods;Electrical Equipment;Heavy Electrical Equipment;Netherlands;382;https://sif-group.com;19.10.2023;1
SIGN SW;SIG Combibloc Group AG;CH;CH0435377954;CHF;Consumer Cyclical;Packaging & Containers;Materials;Materials;Containers & Packaging;Paper & Plastic Packaging Products & Materials;Switzerland;9000;https://www.sig.biz;03.09.2023;1
SIGA US;SIGA Technologies Inc;US;US8269171067;USD;Healthcare;Drug Manufacturers-Specialty & Generic;Health Care;Pharmaceuticals, Biotechnology & Life Sciences;Pharmaceuticals;Pharmaceuticals;United States;39;https://www.siga.com;18.09.2023;1
SGHT US;Sight Sciences Inc;US;US82657M1053;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;250;https://www.sightsciences.com;17.09.2023;1
SGMA US;SigmaTron International Inc;US;US82661L1017;USD;Technology;Electronic Components;Information Technology;Technology Hardware & Equipment;Electronic Equipment, Instruments & Components;Electronic Manufacturing Services;United States;2950;https://www.sigmatronintl.com;19.09.2023;1
LIGHT AS;Signify NV;NL;NL0011821392;EUR;Industrials;Electrical Equipment & Parts;Industrials;Capital Goods;Electrical Equipment;Electrical Components & Equipment;Netherlands;34619;https://www.signify.com;19.10.2023;1
SIKA SW;Sika AG;CH;CH0418792922;CHF;Basic Materials;Specialty Chemicals;Materials;Materials;Chemicals;Specialty Chemicals;Switzerland;33698;https://www.sika.com;05.09.2023;1
SLGN US;Silgan Holdings Inc;US;US8270481091;USD;Consumer Cyclical;Packaging & Containers;Materials;Materials;Containers & Packaging;Metal, Glass & Plastic Containers;United States;15425;https://www.silganholdings.com;19.09.2023;1
SLAB US;Silicon Laboratories Inc;US;US8269191024;USD;Technology;Semiconductors;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductors;United States;1964;https://www.silabs.com;19.09.2023;1
SILK US;Silk Road Medical Inc;US;US82710M1009;USD;Healthcare;Medical Devices;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;United States;414;https://silkroadmed.com;17.09.2023;1
